"CODE";"COUNTRY"
247;"Afghanistan"
253;"Aland Islands"
2;"Albania"
3;"Algeria"
4;"American Samoa"
5;"Andorra"
6;"Angola"
7;"Anguilla"
9;"Antigua And Barbuda"
10;"Argentina"
11;"Armenia"
12;"Aruba"
13;"Australia"
14;"Austria"
15;"Azerbaijan"
16;"Bahamas"
17;"Bahrain"
18;"Bangladesh"
19;"Barbados"
20;"Belarus"
21;"Belgium"
22;"Belize"
23;"Benin"
24;"Bermuda"
25;"Bhutan"
26;"Bolivia"
27;"Bosnia and Herzegovina"
28;"Botswana"
29;"Bouvet Island"
30;"Brazil"
31;"British Indean Ocean Territory"
32;"Brunei"
33;"Bulgaria"
34;"Burkina Faso"
36;"Burundi"
37;"Cambodia"
38;"Cameroon"
39;"Canada"
40;"Cape Verde"
41;"Cayman Islands"
42;"Central African Republic"
43;"Chad"
44;"Chile"
45;"China"
46;"Christmas Island"
47;"Cocos (Keeling) Islands"
48;"Colombia"
49;"Comoros"
50;"Congo"
51;"Congo, Democratic Republic"
52;"Cook Islands"
53;"Costa Rica"
55;"Croatia"
246;"Cuba"
56;"Cyprus"
57;"Czech Republic"
58;"Denmark"
59;"Djibouti"
60;"Dominica"
61;"Dominican Republic"
62;"East Timor"
63;"Ecuador"
64;"Egypt"
65;"El Salvador"
67;"Equatorial Guinea"
68;"Eritrea"
70;"Estonia"
71;"Ethiopia"
72;"Falkland Islands"
73;"Faroe Islands"
74;"Fiji"
75;"Finland"
76;"France"
77;"French Guiana"
78;"French Polynesia"
79;"French Southern Territories"
80;"Gabon"
81;"Gambia"
82;"Georgia"
83;"Germany"
84;"Ghana"
85;"Gibraltar"
87;"Greece"
88;"Greenland"
89;"Grenada"
90;"Guadeloupe"
91;"Guam"
92;"Guatemala"
251;"Guernsey"
93;"Guinea"
94;"Guinea-Bissau"
95;"Guyana"
96;"Haiti"
97;"Heard And Mcdonald Islands"
98;"Honduras"
99;"Hong Kong"
100;"Hungary"
101;"Iceland"
102;"India"
103;"Indonesia"
105;"Iran"
106;"Iraq"
104;"Ireland"
250;"Isle of Man"
107;"Israel"
108;"Italy"
54;"Ivory Coast"
109;"Jamaica"
110;"Japan"
252;"Jersey"
111;"Jordan"
112;"Kazakstan"
113;"Kenya"
114;"Kiribati"
116;"Korea"
115;"Korea, North"
117;"Kuwait"
118;"Kyrgyzstan"
119;"Lao"
120;"Latvia"
121;"Lebanon"
122;"Lesotho"
123;"Liberia"
127;"Libya"
124;"Liechtenstein"
125;"Lithuania"
126;"Luxembourg"
128;"Macau"
129;"Macedonia"
130;"Madagascar"
131;"Malawi"
132;"Malaysia"
133;"Maldives"
134;"Mali"
135;"Malta"
136;"Marshall Islands"
137;"Martinique"
138;"Mauritania"
139;"Mauritius"
140;"Mayotte"
141;"Mexico"
142;"Micronesia"
143;"Moldova"
144;"Monaco"
145;"Mongolia"
254;"Montenegro"
146;"Montserrat"
147;"Morocco"
148;"Mozambique"
149;"Myanmar"
150;"Namibia"
151;"Nauru"
152;"Nepal"
153;"Netherlands"
154;"Netherlands Antilles"
155;"New Caledonia"
156;"New Zealand"
157;"Nicaragua"
158;"Niger"
159;"Nigeria"
160;"Niue"
161;"Norfolk Island"
163;"Northern Mariana Islands"
164;"Norway"
165;"Oman"
166;"Pakistan"
167;"Palau"
248;"Palestinian Territory"
168;"Panama"
169;"Papua New Guinea"
170;"Paraguay"
171;"Peru"
172;"Philippines"
173;"Pitcairn"
174;"Poland"
175;"Portugal"
176;"Puerto Rico"
177;"Qatar"
178;"Reunion"
179;"Romania"
181;"Russian Federation"
182;"Rwanda"
204;"Saint Helena"
183;"Saint Kitts And Nevis"
184;"Saint Lucia"
205;"Saint Pierre And Miquelon"
185;"Saint Vincent And Grenadines"
186;"Samoa"
187;"San Marino"
188;"Sao Tome And Principe"
189;"Saudi Arabia"
191;"Senegal"
242;"Serbia"
192;"Seychelles"
193;"Sierra Leone"
194;"Singapore"
195;"Slovakia"
196;"Slovenia"
197;"Solomon Islands"
198;"Somalia"
199;"South Africa"
200;"South Sandwich Islands"
202;"Spain"
203;"Sri Lanka"
249;"Sudan"
206;"Suriname"
207;"Svalbard and Jan Mayen"
208;"Swaziland"
209;"Sweden"
210;"Switzerland"
211;"Syrian Arab Republic"
212;"Taiwan"
213;"Tajikistan"
214;"Tanzania"
215;"Thailand"
216;"Togo"
217;"Tokelau"
218;"Tonga"
220;"Trinidad and Tobago"
221;"Tunisia"
222;"Turkey"
223;"Turkmenistan"
224;"Turks and Caicos Islands"
225;"Tuvalu"
226;"Uganda"
227;"Ukraine"
228;"United Arab Emirates"
229;"United Kingdom"
1;"United States"
230;"United States Outlying Islands"
231;"Uruguay"
232;"Uzbekistan"
233;"Vanuatu"
234;"Vatican City State"
235;"Venezuela"
236;"Viet Nam"
237;"Virgin Islands, British"
238;"Virgin Islands, US"
240;"Wallis And Futuna"
241;"Western Sahara"
243;"Yemen"
244;"Zambia"
245;"Zimbabwe"
