"QUANTITY","COUNTRY_CODE","COUNTRY_NAME","URL"
0,247,"Afghanistan","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=247&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,253,"Aland Islands","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=253&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
5,2,"Albania","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=2&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
2,3,"Algeria","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=3&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,4,"American Samoa","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=4&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,5,"Andorra","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=5&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,6,"Angola","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=6&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,7,"Anguilla","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=7&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,9,"Antigua And Barbuda","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=9&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
21,10,"Argentina","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=10&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
2,11,"Armenia","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=11&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
0,12,"Aruba","http://www.zend.com/en/services/certification/zend-certified-engineer-directory#cid=12&sid=&certtype_php=on&certtype=PHP&firstname=&lastname=&company=&ClientCandidateID="
